id,reserve0,reserve1,totalSupply,reserveUSD,reserveETH,volumeToken0,volumeToken1,txCount,createdAtTimestamp,createdAtBlockNumber,token0.id,token0.symbol,token0.name,token0.txCount,token0.tradeVolume,token0.totalLiquidity,token0.decimals,token1.id,token1.symbol,token1.name,token1.txCount,token1.tradeVolume,token1.totalLiquidity,token1.decimals
0xe6c78983b07a07e0523b57e18aa23d3ae2519e05,3000000.303498494970661021,999999.900300031379681661,1732050.807568877293526446,1743372228.452697253933797109410237,3054879.156087123647945100225370331,1.464439913262339699,0.487844757531808763,7,1607120076,11388808,0x395c8db957d743a62ac3aaaa4574553bcf2380b3,UETH,ulock.eth Wrapped Ether,57,27.014219581909451958,3026107.30349849497066203,18,0x598a754c5d678119e67574ff811da61d83c0e629,ULCK,uLock,8,0.487844757531808763,999999.93353336360192389,18
0x21b8065d10f73ee2e260e5b47d3344d3ced7596e,415579319.448137923494776845,35731.847455441933352794,3818295.190636889002087966,116074197.4564016260525995055518928,71463.694910883866705588,1121019052.894726206266774797,486414.936608542198336551,74059,1608657192,11504587,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,WISE,Wise Token,74414,1121074504.172115188753242385,415581563.464706858663697749,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,84314388,293803043.995325172332164264,305292.537165465887535179,18
0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,48627779.092677,30027.694800566237645956,0.5794871074289953,97281352.00782388724910596801384569,60055.389601132475291912,43632779389.393222,31360187.986809978363122347,4100358,1588710145,10008355,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USD//C,7814225,62721107836.176774,110486970.732645,6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,84314388,293803043.995325172332164264,305292.537165465887535179,18
0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,17672592.379005502093242347,17659332.12047,15.682514154683441747,35337266.15972697842322245933668398,21804.21170251861672995114989871392,556092734.225037770970938473,556817744.617503,168479,1589413139,10060832,0x6b175474e89094c44da98b954eedeac495271d0f,DAI,Dai Stablecoin,2544489,19863819517.311591755921281509,34505631.162008604048323861,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USD//C,7814225,62721107836.176774,110486970.732645,6
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,10879.532908249623954286,17639823.415624,0.200696729807270978,35246775.47153917725437900715961524,21759.065816499247908572,29532683.115237482766856869,39838878986.175865,4523773,1589850429,10093341,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,84314388,293803043.995325172332164264,305292.537165465887535179,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,7244393,49469598254.798292,57800068.86539,6
0x7d7e813082ef6c143277c71786e5be626ec77b20,796869.058495282423470671,8443.908110525978029456,81788.895693243427487165,30471360.97233265834708694646118494,16887.816221051956058912,309913848.771235348898288102,3581912.913406395105833525,2885,1616944422,12128383,0x9ea3b5b4ec044b70375236a281986106457b20ef,DELTA,DELTA.financial - deep DeFi derivatives,2885,309913848.771235348898288102,796869.058495282423470671,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,84314388,293803043.995325172332164264,305292.537165465887535179,18
0x61b62c5d56ccd158a38367ef2f539668a06356ab,36070165.99303011048587392,14893961.68223,21.542186727432853174,28886274.32917165976576680483422071,17872.34221365213348483747526032675,97666364.831166352280383518,799999888.320636,110661,1607355459,11406521,0xb5fe099475d3030dde498c3bb6f3854f762a48ad,FNK,Finiko,129702,99576651.684616613342496366,36108851.925750994904904645,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,Tether USD,7244393,49469598254.798292,57800068.86539,6
0x0617d5ffb29c03ac35f1863b8a50ce1b52d446f6,34265.784528082570480316,6330.728736030446924878,13305.993346223301561799,26404238.01770164920828873854549636,7982.478078272043478204186572706443,1313686.496032245831886724,424348.549047936005395391,2240,1605047152,11232459,0x1df2099f6abbf0b05c12a61835137d84f10daa96,RK:ETH,RootKit [Wrapped ETH],2240,1313686.496032245831886724,34265.784528082570480316,18,0xcb5f72d37685c3d5ad0bb5f982443bc8fcdf570e,ROOT,RootKit,15457,450591.195759189988853231,7238.092313050783307434,18
0xccb63225a7b19dcf66717e4d40c9a72b39331d61,15768522.420575767569090363,7159.569560163759633931,293284.048708402323725977,23196545.06107389893041309164534982,14319.139120327519267862,344461346.177643020012202708,413773.370803990333486923,55719,1636037244,13550825,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,MC,Merit Circle,55719,344461346.177643020012202708,15768522.420575767569090363,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,84314388,293803043.995325172332164264,305292.537165465887535179,18
0xd3d2e2692501a5c9ca623199d38826e513033a17,1468176.693450189318951153,6715.797267345653569516,44255.957694689697173212,21706587.77331265189406795418559199,13431.594534691307139032,855498285.874172302643734706,7968345.736396353249526639,708939,1600302037,10876348,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,Uniswap,844763,865987426.582521336957633464,1484671.415667199965765174,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,Wrapped Ether,84314388,293803043.995325172332164264,305292.537165465887535179,18
